participant_id,strategy,anthropomorphism,emotion,morality,alignment,motivation
1,No Influence,low,-1,-1,0,2
2,Has Influence,high,0,0,-1,1
3,Has Influence,medium,0,0,-1,3
4,No Influence,high,-1,1,1,3
5,No Influence,high,0,0,0,4
6,No Influence,medium,-1,-1,1,4
7,Has Influence,low,0,1,-1,1
8,No Influence,medium,0,1,1,3
9,Has Influence,medium,0,-1,0,1
10,No Influence,low,0,0,0,4
11,No Influence,medium,0,1,0,1
12,Has Influence,low,-1,0,0,2
13,Has Influence,medium,0,0,0,1
14,No Influence,high,-1,1,-1,4
15,No Influence,low,-1,1,0,1
16,Has Influence,high,0,0,0,4
17,Has Influence,high,0,1,0,3
18,No Influence,high,1,1,1,4
19,Has Influence,high,1,-1,-1,3
20,No Influence,medium,0,1,0,4
